caseId,activity,timestamp,resource
1,Order Received,2024-01-01 09:00:00,System
1,Validate Order,2024-01-01 09:05:00,John
1,Process Payment,2024-01-01 09:10:00,Payment System
1,Ship Order,2024-01-01 09:30:00,Warehouse
1,Complete,2024-01-01 10:00:00,System
2,Order Received,2024-01-01 09:15:00,System
2,Validate Order,2024-01-01 09:20:00,Sarah
2,Process Payment,2024-01-01 09:25:00,Payment System
2,Ship Order,2024-01-01 09:45:00,Warehouse
2,Complete,2024-01-01 10:15:00,System
3,Order Received,2024-01-01 10:00:00,System
3,Validate Order,2024-01-01 10:05:00,John
3,Process Payment,2024-01-01 10:10:00,Payment System
3,Process Payment,2024-01-01 10:12:00,Payment System
3,Ship Order,2024-01-01 10:35:00,Warehouse
3,Complete,2024-01-01 11:00:00,System
4,Order Received,2024-01-01 11:00:00,System
4,Validate Order,2024-01-01 11:05:00,Sarah
4,Process Payment,2024-01-01 11:10:00,Payment System
4,Ship Order,2024-01-01 11:30:00,Warehouse
4,Complete,2024-01-01 12:00:00,System
5,Order Received,2024-01-01 12:00:00,System
5,Validate Order,2024-01-01 12:08:00,John
5,Process Payment,2024-01-01 12:15:00,Payment System
5,Ship Order,2024-01-01 12:40:00,Warehouse
5,Complete,2024-01-01 13:00:00,System
